"Part";"Value";"Device";"Package";"Description";"";
"AP2204R";"AP2204R";"AP2204R";"SOT-89";"Voltage regulator";"";
"BATTERY_TERMINAL";"TERMINAL-2PIN-5.08MMDEFAULT";"TERMINAL-2PIN-5.08MMDEFAULT";"TERMINAL-2PIN-5.08MM";"2-pin terminal block";"";
"BJT_NPN";"BJT_NPN_FMMT619TA";"BJT_NPN_FMMT619TA";"SOT23";"BJT NPN Transistor";"";
"BUTTON1";"PUSHBUTTON_DPST_SMDSMALL";"PUSHBUTTON_DPST_SMDSMALL";"PUSHBUTTON_SPST_PTS525_SERIES";"PUSHBUTTON DPST SMD";"";
"C1";"1uF";"CPOL-USB";"PANASONIC_B";"POLARIZED CAPACITOR, American symbol";"";
"C2";"1uF";"CPOL-USB";"PANASONIC_B";"POLARIZED CAPACITOR, American symbol";"";
"C3";"10uF";"CAP0603";"0603";"Capacitor";"";
"C4";"0.1uF";"CAP0603";"0603";"Capacitor";"";
"C5";"1uF";"CAP0603";"0603";"Capacitor";"";
"CR1220";"CR1220_BATTERY_HOLDERSMD";"CR1220_BATTERY_HOLDERSMD";"CR1220_BATTERY_HOLDER_SMD";"CR1220 Battery Holder";"";
"MAX6103";"MAX6100-MAX6107_VOLTAGE_REF";"MAX6100-MAX6107_VOLTAGE_REF";"SOT23-3";"MAXIM MAX6100-6107 precision voltage reference";"";
"MOSFET_BSH203";"MOSFET-PCHANNELBSH203";"MOSFET-PCHANNELBSH203";"SOT23-3";"Generic PMOSFET";"";
"OLED";"OLED_0.96_I2CGND_PIN1_WIDE";"OLED_0.96_I2CGND_PIN1_WIDE";"OLED_0.96_I2C_GND_PIN1_WIDE";"CHECK VCC & GND PIN VARIANT";"";
"ONEWIRE_BUS";"MOLEX_KK_254_4_PIN_HEADER";"MOLEX_KK_254_4_PIN_HEADER";"MOLEX_KK_254_4PIN_HEADER";"MOLEX KK 254 series PCB header. 0.1" spacing";"";
"R1";"10k";"RESISTOR_SMDR0603";"R0603";"RESISTOR, American symbol";"";
"R2";"47k 1%";"RESISTOR_SMDR0603";"R0603";"RESISTOR, American symbol";"";
"R3";"10k 1%";"RESISTOR_SMDR0603";"R0603";"RESISTOR, American symbol";"";
"R4";"10k";"RESISTOR_SMDR0603";"R0603";"RESISTOR, American symbol";"";
"R5";"10k";"RESISTOR_SMDR0603";"R0603";"RESISTOR, American symbol";"";
"R6";"10k";"RESISTOR_SMDR0603";"R0603";"RESISTOR, American symbol";"";
"R7";"4.7k";"RESISTOR_SMDR0603";"R0603";"RESISTOR, American symbol";"";
"R8";"4.7k";"RESISTOR_SMDR0603";"R0603";"RESISTOR, American symbol";"";
"R9";"10k";"RESISTOR_SMDR0603";"R0603";"RESISTOR, American symbol";"";
"R10";"4.7k";"RESISTOR_SMDR0603";"R0603";"RESISTOR, American symbol";"";
"R11";"4.7k";"RESISTOR_SMDR0603";"R0603";"RESISTOR, American symbol";"";
"R12";"4.7k";"RESISTOR_SMDR0603";"R0603";"RESISTOR, American symbol";"";
"R13";"4.7k";"RESISTOR_SMDR0603";"R0603";"RESISTOR, American symbol";"";
"R14";"10k";"RESISTOR_SMDR0603";"R0603";"RESISTOR, American symbol";"";
"R25";"10ohm";"RESISTOR_SMDR0603";"R0603";"RESISTOR, American symbol";"";
"R26";"10ohm";"RESISTOR_SMDR0603";"R0603";"RESISTOR, American symbol";"";
"R27";"82ohm";"RESISTOR_SMDR0603";"R0603";"RESISTOR, American symbol";"";
"R28";"4.7k 1%";"RESISTOR_SMDR0603";"R0603";"RESISTOR, American symbol";"";
"R29";"4.7k";"RESISTOR_SMDR0603";"R0603";"RESISTOR, American symbol";"";
"RESET";"PUSHBUTTON_DPST_SMDSMALL";"PUSHBUTTON_DPST_SMDSMALL";"PUSHBUTTON_SPST_PTS525_SERIES";"PUSHBUTTON DPST SMD";"";
"RGB_LED";"LED_3_COLOR_ANODE1";"LED_3_COLOR_ANODE1";"LED_RGB_SMD_1.6X1.6";"RGB LED with common anode on pin1";"";
"SENSOR1";"MOLEX_KK_254_4_PIN_HEADER";"MOLEX_KK_254_4_PIN_HEADER";"MOLEX_KK_254_4PIN_HEADER";"MOLEX KK 254 series PCB header. 0.1" spacing";"";
"SENSOR2";"MOLEX_KK_254_4_PIN_HEADER";"MOLEX_KK_254_4_PIN_HEADER";"MOLEX_KK_254_4PIN_HEADER";"MOLEX KK 254 series PCB header. 0.1" spacing";"";
"SENSOR3";"MOLEX_KK_254_4_PIN_HEADER";"MOLEX_KK_254_4_PIN_HEADER";"MOLEX_KK_254_4PIN_HEADER";"MOLEX KK 254 series PCB header. 0.1" spacing";"";
"SENSOR4";"MOLEX_KK_254_4_PIN_HEADER";"MOLEX_KK_254_4_PIN_HEADER";"MOLEX_KK_254_4PIN_HEADER";"MOLEX KK 254 series PCB header. 0.1" spacing";"";
"SENSOR5";"MOLEX_KK_254_4_PIN_HEADER";"MOLEX_KK_254_4_PIN_HEADER";"MOLEX_KK_254_4PIN_HEADER";"MOLEX KK 254 series PCB header. 0.1" spacing";"";
"SENSOR6";"MOLEX_KK_254_4_PIN_HEADER";"MOLEX_KK_254_4_PIN_HEADER";"MOLEX_KK_254_4PIN_HEADER";"MOLEX KK 254 series PCB header. 0.1" spacing";"";
"SENSOR7";"MOLEX_KK_254_4_PIN_HEADER";"MOLEX_KK_254_4_PIN_HEADER";"MOLEX_KK_254_4PIN_HEADER";"MOLEX KK 254 series PCB header. 0.1" spacing";"";
"SENSOR8";"MOLEX_KK_254_4_PIN_HEADER";"MOLEX_KK_254_4_PIN_HEADER";"MOLEX_KK_254_4PIN_HEADER";"MOLEX KK 254 series PCB header. 0.1" spacing";"";
"TEENSY3.5";"TEENSY_3.5/3.6";"TEENSY_3.5/3.6";"TEENSY_3.5/3.6";"";"";
"THERMISTOR";"PINHD-1X2SILK";"PINHD-1X2SILK";"1X02";"1x2 pin header 0.1" spacing (2.54mm)";"";
"U$1";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"PAD-JUMPER-3_2OF3_NC_BY_TRACE";"Solder jumper3 part, 2 of 3 normally closed";"";
"U$2";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"PAD-JUMPER-3_2OF3_NC_BY_TRACE";"Solder jumper3 part, 2 of 3 normally closed";"";
"U$3";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"PAD-JUMPER-3_2OF3_NC_BY_TRACE";"Solder jumper3 part, 2 of 3 normally closed";"";
"U$4";"HOLE-LAYOUT4-40-SOCKET-HEAD";"HOLE-LAYOUT4-40-SOCKET-HEAD";"4-40-SCREW-HOLE";"Drill hole";"";
"U$5";"HOLE-LAYOUT4-40-SOCKET-HEAD";"HOLE-LAYOUT4-40-SOCKET-HEAD";"4-40-SCREW-HOLE";"Drill hole";"";
"U$6";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"PAD-JUMPER-3_2OF3_NC_BY_TRACE";"Solder jumper3 part, 2 of 3 normally closed";"";
"U$7";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"PAD-JUMPER-3_2OF3_NC_BY_TRACE";"Solder jumper3 part, 2 of 3 normally closed";"";
"U$8";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"PAD-JUMPER-3_2OF3_NC_BY_TRACE";"Solder jumper3 part, 2 of 3 normally closed";"";
"U$9";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"PAD-JUMPER-3_2OF3_NC_BY_TRACE";"Solder jumper3 part, 2 of 3 normally closed";"";
"U$10";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"JUMPER-PAD-3-2OF3_NC_BY_TRACE";"PAD-JUMPER-3_2OF3_NC_BY_TRACE";"Solder jumper3 part, 2 of 3 normally closed";"";
"U1";"TCA9548APWR";"TCA9548APWR";"SOP65P640X120-24N";"Low-Voltage 8-Channel I2C Switch With Reset 24-TSSOP -40 to 85";"";
